,review,sentiment,word_count
238,"['poor', 'actors']",0,3
239,"['cant', 'even', 'tell', 'talent', 'pathetic', 'lines', 'speak', 'director', 'gave', 'action']",0,25
240,"['check', 'directors', 'filmography', 'site', 'see', 'film', 'didnt', 'chance']",0,19
241,"['would', 'even', 'good', 'made', 'tv', 'flick']",0,12
242,"['good', 'intentions', 'made', 'film', 'great', 'film', 'might', 'one', 'greatest', 'films', 'ever', 'made']",1,19
243,"['film', 'great', 'actors', 'master', 'director', 'significant', 'themeat', 'least', 'wouldbe', 'significant', 'theme', 'undertone', 'fifties', 'existential', 'worldweariness', 'aerial', 'scenes', 'ought', 'thrilled', 'senses', 'imagination', 'characters', 'one', 'might', 'deeply', 'care']",1,40
244,"['regrettably', 'film', 'fails']",0,4
245,"['movie', 'lacks', 'visual', 'interest', 'drama', 'expression', 'feeling', 'celebration', 'patriotism', 'underlines', 'narrative']",0,19
246,"['actress', 'worse', 'used', 'june', 'allison', 'movie']",0,12
247,"['yet', 'enjoy', 'watching']",1,5
248,"['unfortunately', 'bad', 'movie', 'plain', 'bad']",0,11
249,"['bad', 'script', 'bad', 'direction', 'horrible', 'acting', 'make', 'one', 'plain', 'bad']",0,12
250,"['dialogue', 'sucked']",0,3
251,"['cinematographyif', 'called', 'thatsucked']",0,7
252,"['soundtrack', 'sucked']",0,3
253,"['acting', 'sucked']",0,3
254,"['concert', 'sequences', 'sucked']",0,5
255,['nice'],1,3
256,['funny'],1,3
257,['funny'],1,4
258,"['overall', 'movie', 'cheap', 'trash']",0,6
259,"['movie', 'funny', 'considering', 'ridiculousness']",0,11
260,"['came', 'feeling', 'angry']",0,7
261,"['spoilers', 'whatever', 'else', 'cant', 'said', 'surface', 'superbly', 'crafted']",1,14
262,"['cinematography', 'simply', 'stunning', 'say', 'least', 'fx', 'nothing', 'stateoftheart']",1,17
263,"['conceptually', 'show', 'offers', 'little', 'bit', 'everything', 'everybody', 'parents', 'kids', 'fantasy', 'andor', 'fx', 'fans']",1,20
264,"['wasnt', 'single', 'sour', 'note', 'struck', 'actingwise', 'either', 'surprisingly', 'solid', 'casting']",1,15
265,"['things', 'considered', 'job', 'well', 'done']",1,8
266,"['thanks', 'good', 'movie', 'like', 'done', 'released']",1,10
267,"['one', 'best', 'mexican', 'movies', 'ever', 'one', 'less', 'understood', 'even', 'mexican', 'matter', 'identified', 'felt']",1,27
268,"['ranks', 'highly', 'great', 'noircrimedrama', 'incredible', 'performances', 'belmondo', 'lino', 'ventura']",1,14
269,"['attention', 'given', 'every', 'character', 'complex', 'psychological', 'portrayals', 'detailing', 'loyalty', 'treachery', 'love', 'hope', 'tremendous']",1,18
270,"['excellent', 'drama', 'excellent', 'thriller', 'excellent', 'film']",1,12
271,"['best', 'melville']",1,7
272,"['everything', 'film', 'simply', 'incredible']",1,7
273,"['truly', 'take', 'journey', 'eyes', 'soul', 'child']",1,13
274,"['black', 'water', 'thriller', 'manages', 'completely', 'transcend', 'limitations', 'indie', 'flick', 'continually', 'subverting', 'expectations', 'emerge', 'intense', 'experience']",1,26
275,"['performances', 'real', 'gripping', 'crocdodile', 'extremely', 'well', 'done', 'indeed', 'black', 'water', 'website', 'believed', 'thats', 'used', 'real', 'crocs', 'swamp', 'location', 'fabulous']",1,34
276,"['thoroughly', 'enjoyed', 'christopher', 'eccleston', 'took', 'control', 'tardis', 'continuation', 'series']",1,18
277,"['im', 'sure', 'trying', 'film']",0,12
278,"['turn', 'good', 'day', 'feeling', 'night', 'disturbing', 'memories', 'guess', 'succeeded']",0,20
279,"['lot', 'beautiful', 'places']",1,7
280,"['forced', 'like', 'everything', 'movie']",0,8
281,['lame'],0,2
282,"['heres', 'movie', 'really', 'pied']",0,8
283,"['dont', 'even', 'get', 'started', 'jerky', 'camerawork']",0,10
284,"['saw', 'theater', 'thought', 'going', 'sick']",0,15
285,"['summary', 'witticisms', 'werent', 'witty']",0,5
286,"['plot', 'well', 'said', 'id', 'let', 'one', 'go']",0,11
287,"['acting', 'bad']",0,4
288,"['really', 'bad']",0,2
289,"['even', 'billy', 'bob', 'couldnt', 'rise', 'script', 'worse']",0,11
290,"['camerawork', 'bad']",0,4
291,['rating'],0,5
292,"['amazing', 'finale', 'possibly', 'best', 'trilogy', 'time']",1,11
293,"['kieslowski', 'never', 'ceases', 'amaze']",1,6
294,"['one', 'favourite', 'directors', 'one', 'talented', 'directors', 'history', 'cinema']",1,19
295,"['use', 'colours', 'french', 'flag', 'three', 'films', 'nothing', 'short', 'incredible', 'every', 'shot', 'every', 'scene', 'like', 'work', 'art']",1,28
296,"['three', 'visually', 'appealing', 'movies', 'ive', 'ever', 'seen']",1,10
297,"['subtle', 'connections', 'three', 'films', 'awesome']",1,10
298,"['mention', 'huge', 'spoiler', 'loved', 'ending', 'characters', 'three', 'films', 'remaining', 'survivors', 'ferry', 'disaster', 'valentine', 'young', 'judge', 'together', 'old', 'man', 'watching', 'tv', 'solidifying', 'happiness', 'suffering', 'dealt', 'many', 'years']",1,61
299,"['couldnt', 'think', 'better', 'way', 'end', 'film', 'smile', 'face', 'great', 'way', 'wrap', 'amazing', 'film', 'trilogy']",1,27
300,"['recommend', 'everyone', 'loves', 'film', 'movies', 'anythinga', 'work', 'art']",1,13
301,"['movie', 'trilogy']",1,10
302,"['literally', 'vomited', 'watching', 'film']",0,7
303,"['think', 'one', 'people', 'found', 'another', 'one', 'roths', 'pearls']",1,16
304,"['performance', 'awarded', 'stunning']",1,6
305,"['story', 'told', 'eloquently', 'francis', 'ford', 'coppola', 'years', 'earlier', 'really', 'unfolds', 'gradually', 'leaves', 'room', 'characters', 'develop']",1,25
306,"['wonderful', 'location', 'lies', 'story', 'contrast']",1,10
307,"['beautiful', 'directed', 'film', 'nicolas', 'roeg', 'wih', 'sublime', 'cast']",1,14
308,"['im', 'translating', 'movies', 'living', 'first', 'movie', 'year', 'working', 'experience', 'found', 'offensive', 'intelligence']",0,24
309,"['someone', 'strives', 'greatness', 'poetry', 'delivers', 'muddled', 'often', 'ridiculous', 'story', 'bunch', 'disparate', 'scenes', 'pretentious', 'dialogue', 'get', 'worst', 'kind', 'movie', 'reviewer', 'accurately', 'defined', 'pretentious', 'crap']",0,42
310,"['find', 'movie', 'intelligent', 'even', 'masterful', 'say', 'intelligence', 'imagination', 'obviously', 'used', 'try', 'make', 'sense', 'pitiful', 'attempt', 'human', 'nature', 'try', 'make', 'sense', 'things']",0,47
311,"['one', 'thing', 'tolerate', 'political', 'incorrectness', 'well', 'im', 'artistic', 'freedom', 'suspension', 'disbelief', 'slavic', 'female', 'character', 'much']",0,28
312,"['fun', 'funny', 'movie']",1,8
313,"['highly', 'entertaining', 'angles']",1,5
314,"['features', 'outlandish', 'array', 'memorable', 'psychotic', 'lovable', 'nuts']",1,11
315,"['enjoyment', 'get', 'see', 'run', 'around', 'play', 'games', 'dangerous']",1,16
316,"['even', 'sweet', 'moments']",1,6
317,"['telephone', 'repair', 'man', 'really', 'funny', 'reactions', 'nuts', 'bitchy', 'boss', 'truly', 'genuine']",1,19
318,"['characters', 'film', 'tremendously', 'well', 'played']",1,10
319,"['really', 'find', 'funny']",1,7
320,"['actually', 'smart', 'movie']",1,7
321,"['brilliant', 'twist', 'ending']",1,6
322,['love'],1,4
323,"['ending', 'perfect', 'youll', 'shed', 'tear']",1,10
324,"['thrilled', 'seeing', 'movie', 'like']",1,10
325,"['never', 'forget']",1,6
326,"['cult', 'cult', 'classic']",1,11
327,"['depth', 'character', 'man', 'underneath']",0,11
328,"['malta', 'settings', 'dry', 'barren', 'dialogue']",0,12
329,"['movie', 'terrible']",0,4
330,"['hockey', 'scenes', 'terrible', 'defensemen', 'playing', 'like', 'theyre', 'years', 'old', 'goalies', 'diving', 'shots', 'feet', 'wide', 'net', 'etc']",0,25
331,"['havent', 'seen', 'dont', 'waste', 'time']",0,10
332,"['call', 'movie', 'drama', 'ridiculous']",0,8
333,"['started', 'watching', 'didnt', 'believe', 'characters']",0,11
334,"['particular', 'relationship', 'bakery', 'assistant', 'waitress', 'didnt', 'work']",0,18
335,"['superficial', 'movie', 'gave', 'feeling', 'watching', 'play', 'rather', 'film']",0,21
336,"['characters', 'stagey', 'storyline', 'lot', 'like', 'stage', 'farce']",0,15
337,"['time', 'pyromaniac', 'waylaid', 'assistant', 'bored', 'didnt', 'care', 'happened', 'next', 'switched']",0,22
338,"['glad', 'didnt', 'pay', 'see']",0,7
339,"['didnt', 'laugh', 'even', 'smile']",0,6
340,"['wasnt', 'anything', 'one', 'big', 'yawn']",0,10
341,"['really', 'good', 'show', 'watch']",1,8
342,"['educational', 'children', 'years', 'old']",1,11
